t,x,y
1,-0.09945052808768556,-2.865294911577599
2,1.4528704818990046,-4.022043800875084
3,-0.3575836868169293,-2.028943174142261
4,-2.2175451928636005,-1.3933513700795757
5,-2.075305854225224,-0.38057768528098135
6,-1.2834975416452221,-0.14197918948532454
7,-1.5966658645951926,0.14505456883474788
8,-0.7924948579049782,0.5961556626710227
9,-0.4118874288804835,0.6499666667166807
10,0.16033648812872206,0.18119051740256256
11,0.039475782628276695,-0.4427146586323024
12,0.3848878702273995,-0.7111322551483397
13,0.41119270381072964,-0.7490845539145342
14,-0.13261748959772318,-0.4706141061424093
15,-0.20892227012492656,0.06545297064200717
16,-0.24121267092639298,0.2654580731587829
17,-0.48262413509481566,0.17551900196711756
18,-0.34128163817443197,-0.18443602628631875
19,-0.028530531883785293,-0.23789586619509118
20,0.28300464613509974,0.10437536423688781
21,0.036311725031986195,-0.2434013106954538
22,-0.11534689023086572,-0.5320927263570363
23,-0.2199646453580504,-0.2556400811910753
24,0.15051791276904092,1.007252038691765
25,-0.19202365190291865,0.14400202306048587
26,-0.09254493611271074,-0.4495859400668244
27,-0.49371971432840295,-0.6317483755903182
28,0.9995175563608947,0.11233365232283865
29,0.21449548491622414,-0.1629965913999863
30,-0.2801939108176526,-0.7056815050995149
31,-0.4895415389396128,-0.7916041121347285
32,0.07955511060580925,-0.12744835743470223
33,0.3156076529608001,0.2016706654515462
34,-0.7690530275269902,0.15206835606674296
35,-0.2995972689469787,-0.02970668202478892
36,-0.1843389404870299,-0.08759104647226049
37,0.2917116532950086,-0.7950686521900312
38,0.09251107516973908,-0.72151329992726
39,-0.07279322071222163,0.10876430544207749
40,-0.028077205340130112,0.36949484283738676
41,-0.3875214163666577,-0.24093905157550105
42,-0.7155901881996073,-0.7031784796312073
43,0.03130430059872891,-0.5487643054706632
44,0.4645435454311237,0.1836700828617958
45,-0.5302701201905191,0.8279078428830904
46,0.1886736715974638,0.4425577076404046
47,-1.1054638513954391,-0.6949917679136907
48,0.6152574802583852,-0.8737495620811562
49,0.4374577217819676,-0.2811684389176703
50,0.46566838018165996,-0.6116418885545782
51,-0.6254934913149057,-2.6818314352180255
52,-0.5467362179804758,-4.055402809159519
53,-0.24376764284713498,-2.565394606532746
54,0.1387376646798284,-2.4500392583535273
55,-1.0766568019238565,-1.9254033551718917
56,-1.9669652286803412,-1.2213507017436338
57,-2.1041817554637228,-1.0552468940278974
58,-0.9395095522196742,-1.3446998392571405
59,-1.2239792275464358,-2.7050654751225016
60,-0.48513706527895983,-3.3414218940104625
61,-0.27386514746481017,-4.448300727567333
62,-0.938955796280041,-2.766574737201509
63,-1.4342660109830379,-1.984733432920048
64,-1.5469439641067746,-1.5285978058700997
65,-2.0466007392957346,-0.9682269060641078
66,-1.3599658839491373,-0.817775799218651
67,-0.6842082012935053,-1.1080294364512393
68,-0.6595435362851644,-1.7983207023537315
69,-0.4712420182639485,-1.0539549446794756
70,-0.28677950019029846,-0.8746075714057637
71,-0.5414651514768821,-0.810794258680777
72,-0.9881641996917498,-0.1345554221457142
73,-0.8258630570008949,0.4903245656216522
74,-0.22385136157987348,0.14183290140636515
75,-0.7316718347484026,-0.2501867288965648
76,0.011040543193697905,-0.3624293500102941
77,0.4881330455409909,0.2958466989380218
78,0.013278733066705545,0.7614391165865982
79,-0.3047325504522982,0.02543882786605478
80,0.10625213651914345,-1.810613451584502
81,-0.5018680152820805,-1.8779230274085377
82,0.9036279826600142,-1.5266144278622293
83,-0.5697569412890919,-0.5189400850986324
84,-0.742838564972486,0.18253914055624038
85,-1.188276364619179,0.1755392938228291
86,-0.2920115719075236,-0.6792246064997484
87,-0.3327322648146258,0.09639500859268607
88,0.43283679891778726,0.4633451474827651
89,0.08818969210202435,0.5510407176810069
90,-0.6736891631857498,0.5757493151306177
91,-0.24050741488199562,-0.25701421194879054
