sample,t,x
1,1,21.567264293459555
1,2,17.43612532549473
1,3,16.261595968668978
1,4,18.124216757855766
1,5,18.56645188866
1,6,17.27694764341824
1,7,18.482072358138204
1,8,17.43818042334508
1,9,17.209709460670087
1,10,17.46407434057848
1,11,17.32992126177207
1,12,16.680329048023918
1,13,17.815563138790026
1,14,11.900699857758053
1,15,8.201909467236076
1,16,9.481186185310877
1,17,9.791377653942757
1,18,14.561102767907647
1,19,17.017972932525264
1,20,20.688781947137034
1,21,20.044972132450827
1,22,17.165088092948434
1,23,16.537195837802745
1,24,18.816259122762386
1,25,20.59524535973788
1,26,21.24287904252028
1,27,22.089820870844868
1,28,20.35409136634081
1,29,17.381184252283056
1,30,17.415167462805574
1,31,17.88009111826122
1,32,17.78913060217681
1,33,16.505941570317727
1,34,19.33396343099967
1,35,15.726685478270493
1,36,15.04812469704007
1,37,20.502492596194628
1,38,25.554261346261292
1,39,24.144257913931305
1,40,22.759878666868378
1,41,24.139382426697257
1,42,24.001405383875397
1,43,26.615051798154663
1,44,27.36841444269298
1,45,28.403168102590232
1,46,24.72663097074505
1,47,18.845369788869466
1,48,20.397729369415842
1,49,23.94476638916329
1,50,26.61080599537619
1,51,27.101297317113257
1,52,24.416166928548353
1,53,24.628238575880097
1,54,24.775493415702172
1,55,19.736476425642678
1,56,18.594450054981387
1,57,19.13915085061914
1,58,20.72429961576114
1,59,22.943996658819795
1,60,23.806564831963165
1,61,23.5800561042195
1,62,22.581569598623076
1,63,17.325197563122142
1,64,8.670752774240558
1,65,4.360129101811314
1,66,2.252184316111898
1,67,1.801019878423119
1,68,5.21777744139793
1,69,3.7564773484786933
1,70,2.340671008960181
1,71,4.1980407242960975
1,72,6.833175238235748
1,73,4.885777209299471
1,74,6.1370302732202
1,75,10.363565570017485
1,76,15.034667892032314
1,77,12.509260879261598
1,78,9.87334199263631
1,79,10.222241063865615
1,80,13.103253416166943
1,81,14.102622063924954
1,82,15.885607394774095
1,83,17.698919127561265
1,84,16.768369018637625
1,85,12.149566076675459
1,86,10.735909411022561
1,87,7.503870944453233
1,88,7.6348619899800685
1,89,7.187100615883761
1,90,8.577252713519902
1,91,11.964601878282368
1,92,13.969771199964581
1,93,14.30247835970187
1,94,12.133097612787674
1,95,13.292119736590577
1,96,16.006068207520727
1,97,15.716272446115523
1,98,17.784651203925566
1,99,17.931868835506574
1,100,17.44172113276336
1,101,17.148832771834627
1,102,15.077415353650563
1,103,18.42626601387573
2,1,7.870017710317274
2,2,5.520137549792468
2,3,4.66599351275946
2,4,6.528251985401235
2,5,7.905701324484756
2,6,7.999336798949738
2,7,5.944465756055717
2,8,4.15174062436393
2,9,2.8004772383218977
2,10,5.334009974801688
2,11,3.1268769080719623
2,12,2.69033086786917
2,13,-2.173319509842374
2,14,-3.778357648210256
2,15,-4.7870966220096225
2,16,-9.15335014649917
2,17,-10.95032650582776
2,18,-13.302054511172598
2,19,-11.678699216279918
2,20,-11.92132154376349
2,21,-10.111412202726685
2,22,-8.998634039896704
2,23,-6.425071410776631
2,24,-6.152249514405051
2,25,-3.141982627447327
2,26,0.06296497857060146
2,27,-0.14600433981285443
2,28,2.317271551591745
2,29,2.611187606347072
2,30,-0.8347115503896262
2,31,-2.793742451987294
2,32,-2.6497671808411005
2,33,-0.9563842333034689
2,34,-1.873883708592489
2,35,1.6326450392527256
2,36,1.2453400739724632
2,37,0.9362079079042869
2,38,2.081969677535127
2,39,4.324804986114531
2,40,2.465578425184274
2,41,2.6662843456868996
2,42,7.426813035501896
2,43,9.073262388287715
2,44,9.731796833140779
2,45,11.631714786307224
2,46,9.209853090103483
2,47,11.136928842220849
2,48,16.670994728431975
2,49,17.10040686829637
2,50,19.202094834517954
2,51,21.486892809617313
2,52,23.839552290288076
2,53,24.74648897218329
2,54,30.252609211982833
2,55,31.161434996108376
2,56,31.90831089433249
2,57,32.21587223937174
2,58,34.24012698176306
2,59,31.085779909066368
2,60,32.91072483879905
2,61,35.44751972707123
2,62,37.40706409371573
2,63,36.29641709502735
2,64,36.454297898109
2,65,35.05209000658564
2,66,31.968273701273404
2,67,26.81116545854027
2,68,24.267289968123087
2,69,21.418995951116045
2,70,20.223686454778903
2,71,18.30278182459841
2,72,15.708120778359223
2,73,15.596363999079752
2,74,17.008183350680866
2,75,22.961394287017267
2,76,26.91520958929324
2,77,30.543738608821265
2,78,29.295792965267452
2,79,28.831796312016643
2,80,29.265931887170026
2,81,28.886850479896523
2,82,29.611000577905244
2,83,31.125424780750134
2,84,31.859926336034373
2,85,28.85272332826028
2,86,28.87208458131153
2,87,29.795562683308304
2,88,30.184471120020326
2,89,25.821249345877494
2,90,27.536516324819722
2,91,32.496155591541424
2,92,34.492085372717064
2,93,36.72580909727476
2,94,44.34146672897803
2,95,49.22030139540437
2,96,49.055711609706414
2,97,50.117370441647374
2,98,48.15099107034088
2,99,46.340092661800846
2,100,47.50221482596765
2,101,48.79467937604628
2,102,45.40061270865019
2,103,44.71416782731102
2,104,46.7085873685861
2,105,45.58269346919754
2,106,42.62628529058207
2,107,43.31397746428414
2,108,47.06043301516322
2,109,42.07559695046481
2,110,41.89340957366567
3,1,29.633575613195777
3,2,30.0944187350176
3,3,33.78810370168888
3,4,36.05298241189194
3,5,33.08223820863006
3,6,35.173602066195016
3,7,38.2695879744715
3,8,40.864691624916354
3,9,42.05359108247248
3,10,37.74988387577719
3,11,35.39539963942732
3,12,36.19201085791599
3,13,36.52722399324186
3,14,29.7748498254476
3,15,22.924080882117234
3,16,21.560719060941565
3,17,19.36917169069332
3,18,19.243849855031993
3,19,17.8045643288095
3,20,16.324792858361164
3,21,14.717680515278193
3,22,17.164879426746086
3,23,19.256984309833875
3,24,20.449163339818693
3,25,22.09066807661075
3,26,25.01586389121076
3,27,22.716683854771926
3,28,21.11289446757581
3,29,21.436652955365574
3,30,21.920576369746254
3,31,23.145138664763348
3,32,25.301994330953587
3,33,33.14098367404431
3,34,33.521857554314444
3,35,32.104089082226466
3,36,27.645474054177043
3,37,24.698661025587583
3,38,23.82166734948406
3,39,25.85052387627628
3,40,28.72139055784362
3,41,26.71614346298453
3,42,25.253238437341945
3,43,19.532736160221113
3,44,16.541169371648113
3,45,18.800000182121142
3,46,23.449615451072134
3,47,25.9285693868993
3,48,25.243354645776755
3,49,24.321329270669022
3,50,24.88502394106587
3,51,23.971878262638104
3,52,22.493959860390024
3,53,21.563515979107883
3,54,22.40341946678083
3,55,25.11336683721001
3,56,26.43775758113649
3,57,26.752958144311407
3,58,24.959794976970937
3,59,22.82384237968786
3,60,20.06169469220246
3,61,21.155544139885862
3,62,15.035528334741747
3,63,13.317059467328933
3,64,17.67296111156319
3,65,16.812123668989948
3,66,12.213005372327075
3,67,9.757495128335627
3,68,12.620888906166746
3,69,13.478965714740102
3,70,11.523123223007833
3,71,18.173199839924465
3,72,20.284907390217676
3,73,19.4214056491683
3,74,18.098551265387417
3,75,15.780167939407841
3,76,16.307105197060583
3,77,18.051896864123336
3,78,17.327295738940602
3,79,15.895109809164412
3,80,17.14548361917154
3,81,18.34190768251301
3,82,17.646395061315406
3,83,17.5588734249138
3,84,18.77957408453257
3,85,17.187339608593668
3,86,16.94874358291647
3,87,20.678483901762124
3,88,20.417312038267998
3,89,20.026633477892425
3,90,17.466057874083532
3,91,16.25566576930903
3,92,13.126469118692345
3,93,17.821936655963615
3,94,22.30335792165584
3,95,20.30886875654902
3,96,19.32165390959944
3,97,18.854983480029112
3,98,23.723016104235423
3,99,26.13905239483515
3,100,28.664367605245612
3,101,30.443191583107893
3,102,29.633859629337234
3,103,26.78846204834177
3,104,22.844618918610642
3,105,21.315516973299772
3,106,19.06170896849499
3,107,15.308861491557474
3,108,11.380454260808902
3,109,13.791906964749849
3,110,15.182411113604386
3,111,13.714372492135485
3,112,13.018786050901518
3,113,10.007297100512698
3,114,8.820719635911539
3,115,4.7062013244856225
3,116,5.545591630472519
3,117,3.812867255174698
3,118,-0.05549225565657284
3,119,-1.1971585725455611
3,120,-1.7880399160497642
3,121,0.6512753233772486
3,122,3.340744028028784
3,123,6.68875451651685
3,124,4.489619378894293
3,125,1.7473452397612457
3,126,1.42282045915569
3,127,11.70392851992035
3,128,19.536488880231897
3,129,17.8299203115538
3,130,15.411914903666435
3,131,16.71567120947785
3,132,19.956218215730818
3,133,19.662812471970955
3,134,18.631935197893345
3,135,16.941858964692788
3,136,17.070810740963662
3,137,15.477166860983152
3,138,16.290970300347887
3,139,18.65366180941559
3,140,18.62319355415829
3,141,11.335308567051062
3,142,10.32862884364854
3,143,14.155529814214388
3,144,15.11532603343794
3,145,11.364149120457759
3,146,7.933826618033747
